Level,Organization,Parent_Organization,Leader_Name,Leader_Title,Service_Branch,Location,Description,
1,Department of War,Executive Branch,Pete Hegseth,Secretary of War,All,Pentagon Arlington VA,Cabinet-level department responsible for national defense renamed from Department of Defense in 2025,
1,Office of the Secretary of War,Department of War,Pete Hegseth,Secretary of War,All,Pentagon,Top civilian leadership overseeing all DoW operations,
1,Office of Inspector General,OSW,Platte Moring,Inspector General,All,Pentagon,Independent oversight of DoW programs and operations,
1,Office of Legislative Affairs,OSW,Macon Dane Hughes,Assistant Secretary for Legislative Affairs,All,Pentagon,Manages DoW relations with Congress,
1,Washington Headquarters Services,OSW,Regina F. Meiners,Director,All,Alexandria VA,Provides administrative support to OSW,
1,Joint Chiefs of Staff,OSW,GEN Dan Caine,Chairman,All,Pentagon,Principal military advisors to President SecWar and NSC,
2,Under Secretary for Acquisition and Sustainment,OSW,Michael Duffey,Under Secretary,All,Pentagon,Oversees all DoW acquisition and sustainment activities,
2,Under Secretary for Research and Engineering,OSW,Emil Michael,Under Secretary and DoW CTO,All,Pentagon,Oversees DoW research development and engineering,
2,Under Secretary for Policy,OSW,Elbridge Colby,Under Secretary,All,Pentagon,Oversees DoW policy formulation,
2,Under Secretary for Intelligence and Security,OSW,Bradley Hansell,Under Secretary,All,Pentagon,Oversees defense intelligence and security enterprise,
2,Under Secretary for Personnel and Readiness,OSW,Anthony Tata,Under Secretary,All,Pentagon,Manages DoW human resources and readiness,
2,Under Secretary Comptroller CFO,OSW,Jules W. Hurst III,Under Secretary and CFO,All,Pentagon,Oversees DoW budget and financial management,
2,Cost Assessment and Program Evaluation CAPE,OSW,Michael Payne,Acting Director,All,Pentagon,Provides cost analysis and program evaluation,
2,DoW Chief Information Officer,OSW,Kirsten Davies,DoW CIO,All,Pentagon,Chief information officer for entire DoW,
2,Joint Staff J1 Manpower,Joint Chiefs,MG Paige M. Jennings,Director,All,Pentagon,Manpower and personnel for joint operations,
2,Joint Staff J2 Intelligence,Joint Chiefs,VADM Thomas M. Henderschedt,Director,All,Pentagon,Intelligence for joint operations,
2,Joint Staff J3 Operations,Joint Chiefs,LTG David L. Odom,Director,All,Pentagon,Joint operations directorate,
2,Joint Staff J4 Logistics,Joint Chiefs,LTG Keith D. Reventlow,Director,All,Pentagon,Joint logistics directorate,
2,Joint Staff J5 Strategy Plans Policy,Joint Chiefs,LTG Brett G. Sylvia,Director,All,Pentagon,Strategic plans and policy,
2,Joint Staff J6 C4 Cyber,Joint Chiefs,LTG David T. Isaacson,Director and CIO,All,Pentagon,Command control communications computers and cyber,
2,Joint Staff J7 Joint Force Development,Joint Chiefs,LTG Stephen E. Liszewski,Director,All,Pentagon,Joint force training and development,
2,Joint Staff J8 Force Structure,Joint Chiefs,LTG Steven Whitney,Director,All,Pentagon,Force structure and resource assessment,
3,JIATF-401 Counter-UAS,Direct Reporting to DepSecWar,BG Matt Ross,Director,DoW,Fort Liberty NC,Lead organization for counter-small UAS development,
3,Golden Dome Missile Defense,Direct Reporting to DepSecWar,GEN Michael A. Guetlein,Director DRPM,DoW,Peterson SFB CO,Space-based missile defense shield,
